,qseqid,sseqid,dN,dS,dN/dS
342,Thecc1EG000663t1,Gorai.003G022700.1,0.0383,0.6943,0.0552
343,Thecc1EG000664t1,Gorai.008G077700.1,0.0354,0.3926,0.0903
344,Thecc1EG000665t1,Gorai.007G215900.1,0.0274,0.3887,0.0706
345,Thecc1EG000667t1,Gorai.007G054700.1,0.0313,0.3779,0.0828
346,Thecc1EG000670t1,Gorai.007G216200.1,0.0271,0.323,0.0839
347,Thecc1EG000672t1,Gorai.003G026200.1,0.0189,0.289,0.0654
348,Thecc1EG000673t1,Gorai.003G026300.1,0.0333,0.6612,0.0504
349,Thecc1EG000674t1,Gorai.007G216600.1,0.0258,0.6307,0.041
350,Thecc1EG000679t1,Gorai.003G026500.1,0.0501,0.6784,0.0739
351,Thecc1EG000680t1,Gorai.007G216700.1,0.0284,0.5113,0.0555
352,Thecc1EG000682t1,Gorai.007G216800.1,0.0283,0.4159,0.0682
353,Thecc1EG000683t1,Gorai.007G216900.1,0.049,0.677,0.0724
354,Thecc1EG000684t1,Gorai.007G217000.1,0.0231,0.4197,0.0549
355,Thecc1EG000685t1,Gorai.003G026900.1,0.0296,0.5147,0.0574
356,Thecc1EG000686t1,Gorai.007G055500.1,0.0429,0.4078,0.1051
357,Thecc1EG000687t1,Gorai.003G066000.1,0.0446,0.4336,0.1029
358,Thecc1EG000689t1,Gorai.011G106600.1,0.0361,0.3918,0.0921
359,Thecc1EG000690t1,Gorai.008G078400.1,0.0412,0.3405,0.1211
360,Thecc1EG000692t1,Gorai.011G273800.1,0.0611,0.6339,0.0964
361,Thecc1EG000693t1,Gorai.003G027200.1,0.0158,0.4001,0.0394
362,Thecc1EG000694t1,Gorai.008G078600.1,0.0435,0.5076,0.0857
363,Thecc1EG000695t1,Gorai.007G218000.1,0.0307,0.3358,0.0914
364,Thecc1EG000696t1,Gorai.007G055600.1,0.0331,0.507,0.0652
365,Thecc1EG000697t1,Gorai.007G218200.1,0.0206,0.3777,0.0544
366,Thecc1EG000698t1,Gorai.007G218300.1,0.0271,0.4161,0.0651
367,Thecc1EG000700t1,Gorai.007G055700.1,0.0176,0.3339,0.0527
368,Thecc1EG000701t1,Gorai.011G257600.1,0.0631,0.8401,0.0751
369,Thecc1EG000702t1,Gorai.007G218400.1,0.0586,0.5914,0.099
370,Thecc1EG000703t1,Gorai.008G078700.1,0.0673,0.7121,0.0945
371,Thecc1EG000704t1,Gorai.007G117400.1,0.0613,0.4758,0.1289
372,Thecc1EG000707t1,Gorai.007G218900.1,0.0491,0.4135,0.1188
373,Thecc1EG000711t1,Gorai.008G079000.1,0.0621,0.6265,0.0991
374,Thecc1EG000714t1,Gorai.008G079200.1,0.0568,0.5624,0.1011
375,Thecc1EG000716t1,Gorai.007G219100.1,0.0515,0.5558,0.0926
376,Thecc1EG000717t1,Gorai.007G055800.1,0.0167,0.3418,0.0488
377,Thecc1EG000719t1,Gorai.008G079500.1,0.0201,0.3262,0.0616
378,Thecc1EG000723t1,Gorai.007G219500.1,0.0249,0.4421,0.0563
379,Thecc1EG000725t1,Gorai.007G219600.1,0.0995,0.5067,0.1964
380,Thecc1EG000728t1,Gorai.003G027700.1,0.0493,0.9484,0.052
381,Thecc1EG000729t1,Gorai.003G027800.1,0.0292,0.4568,0.0639
382,Thecc1EG000731t1,Gorai.011G107000.1,0.0417,0.4067,0.1025
383,Thecc1EG000732t1,Gorai.007G056000.1,0.0286,0.3674,0.0779
384,Thecc1EG000733t1,Gorai.008G079700.1,0.0347,0.2918,0.119
385,Thecc1EG000735t1,Gorai.007G220100.1,0.0459,0.4565,0.1006
386,Thecc1EG000736t1,Gorai.011G107300.1,0.0784,0.9524,0.0823
387,Thecc1EG000738t1,Gorai.003G028400.1,0.0504,0.5854,0.0861
388,Thecc1EG000741t1,Gorai.007G220600.1,0.0379,0.3818,0.0993
389,Thecc1EG000742t1,Gorai.007G220700.1,0.0282,0.3054,0.0923
390,Thecc1EG000744t1,Gorai.003G028500.1,0.0234,0.8848,0.0264
391,Thecc1EG000746t1,Gorai.007G220900.1,0.0496,0.4736,0.1048
392,Thecc1EG000749t1,Gorai.007G221100.1,0.0308,0.5035,0.0612
393,Thecc1EG000750t1,Gorai.003G028700.1,0.0462,0.4014,0.1151
394,Thecc1EG000751t1,Gorai.008G080100.1,0.0099,0.4352,0.0227
395,Thecc1EG000754t1,Gorai.007G221400.1,0.0436,0.3266,0.1337
396,Thecc1EG000755t1,Gorai.008G080300.1,0.0668,0.6907,0.0968
397,Thecc1EG000758t1,Gorai.008G080600.1,0.0113,0.3251,0.0347
398,Thecc1EG000760t1,Gorai.008G080700.1,0.0297,0.3606,0.0824
399,Thecc1EG000761t1,Gorai.007G221700.1,0.0518,0.5246,0.0987
400,Thecc1EG000762t1,Gorai.008G080800.1,0.0376,0.4732,0.0794
401,Thecc1EG000763t1,Gorai.007G221800.1,0.0269,0.4126,0.0652
402,Thecc1EG000764t1,Gorai.007G221900.1,0.0143,0.5261,0.0272
403,Thecc1EG000766t1,Gorai.007G222000.1,0.0175,0.5539,0.0316
404,Thecc1EG000770t1,Gorai.007G222100.1,0.0131,0.4549,0.0289
405,Thecc1EG000771t1,Gorai.011G107900.1,0.0244,0.4194,0.0582
406,Thecc1EG000773t1,Gorai.003G029300.1,0.0157,0.5048,0.0312
407,Thecc1EG000774t1,Gorai.008G082400.1,0.0177,0.357,0.0496
408,Thecc1EG000776t1,Gorai.007G222400.1,0.0206,0.3634,0.0567
409,Thecc1EG000780t1,Gorai.007G222500.1,0.024,0.3918,0.0612
410,Thecc1EG000781t1,Gorai.003G029600.1,0.1921,71.4005,0.0027
411,Thecc1EG000782t1,Gorai.008G082600.1,0.052,0.4033,0.1289
412,Thecc1EG000784t1,Gorai.007G222600.1,0.0282,0.4307,0.0656
413,Thecc1EG000785t1,Gorai.007G056400.1,0.0694,0.4779,0.1452
414,Thecc1EG000788t1,Gorai.007G222900.1,0.04,0.3659,0.1094
415,Thecc1EG000789t1,Gorai.011G108000.1,0.0273,0.3577,0.0763
416,Thecc1EG000793t1,Gorai.008G083000.1,0.0416,0.4475,0.093
417,Thecc1EG000794t1,Gorai.008G083800.1,0.0301,0.3365,0.0895
418,Thecc1EG000797t1,Gorai.007G223400.1,0.0464,0.3834,0.1211
419,Thecc1EG000798t1,Gorai.008G083600.1,0.0266,0.355,0.075
420,Thecc1EG000801t1,Gorai.007G223500.1,0.0257,0.2862,0.0898
421,Thecc1EG000802t1,Gorai.008G083400.1,0.0234,0.4421,0.053
422,Thecc1EG000803t1,Gorai.007G223600.1,0.0977,0.4688,0.2084
423,Thecc1EG000804t1,Gorai.003G030700.1,0.0074,0.4865,0.0152
424,Thecc1EG000805t1,Gorai.007G224000.1,0.0374,0.3774,0.0991
425,Thecc1EG000806t1,Gorai.011G108200.1,0.0391,0.493,0.0794
426,Thecc1EG000808t1,Gorai.007G056600.1,0.0217,0.4918,0.0441
427,Thecc1EG000807t1,Gorai.007G224200.1,0.0272,0.2079,0.131
428,Thecc1EG000809t1,Gorai.011G108300.1,0.0264,0.3469,0.076
429,Thecc1EG000812t1,Gorai.008G083300.1,0.0552,0.4147,0.1331
430,Thecc1EG000813t1,Gorai.003G031000.1,0.0095,0.4149,0.0229
431,Thecc1EG000814t1,Gorai.003G031100.1,0.032,0.5586,0.0574
432,Thecc1EG000815t1,Gorai.007G224600.1,0.0477,0.3265,0.146
433,Thecc1EG000816t1,Gorai.007G224700.1,0.0244,0.3055,0.0799
434,Thecc1EG000817t1,Gorai.008G084100.1,0.0084,0.6133,0.0138
435,Thecc1EG000818t1,Gorai.007G224900.1,0.006,0.4682,0.0127
436,Thecc1EG000819t1,Gorai.007G225000.1,0.0713,0.8197,0.087
437,Thecc1EG000820t1,Gorai.011G236800.1,0.0521,0.4465,0.1166
438,Thecc1EG000822t1,Gorai.007G225100.1,0.0697,0.7193,0.0969
439,Thecc1EG000823t1,Gorai.008G084500.1,0.0148,0.3366,0.0439
440,Thecc1EG000826t1,Gorai.007G225500.1,0.0538,0.5148,0.1045
441,Thecc1EG000827t1,Gorai.007G225600.1,0.0226,0.3632,0.0622
442,Thecc1EG000828t1,Gorai.003G031700.1,0.0323,0.3643,0.0887
443,Thecc1EG000829t1,Gorai.007G225800.1,0.0499,0.5371,0.0928
444,Thecc1EG000830t1,Gorai.007G225900.1,0.0544,0.5226,0.104
445,Thecc1EG000831t1,Gorai.008G085000.1,0.0337,0.3031,0.1111
446,Thecc1EG000835t1,Gorai.003G032100.1,0.0562,0.5398,0.1041
447,Thecc1EG000838t1,Gorai.003G032300.1,0.0669,0.4661,0.1435
448,Thecc1EG000843t1,Gorai.011G108600.1,0.0367,0.6043,0.0607
449,Thecc1EG000844t1,Gorai.008G086000.1,0.0235,0.3607,0.0651
450,Thecc1EG000847t1,Gorai.008G086100.1,0.0217,0.439,0.0495
451,Thecc1EG000848t1,Gorai.007G226800.1,0.0234,0.3913,0.0599
452,Thecc1EG000851t1,Gorai.008G086200.1,0.0561,0.5179,0.1083
453,Thecc1EG000852t1,Gorai.003G032600.1,0.0334,0.4907,0.0682
454,Thecc1EG000853t1,Gorai.003G032700.1,0.0397,0.516,0.077
455,Thecc1EG000854t1,Gorai.007G227000.1,0.0399,0.3336,0.1195
456,Thecc1EG000856t1,Gorai.008G086300.1,0.0364,0.3869,0.0942
457,Thecc1EG000860t1,Gorai.007G057000.1,0.017,0.4715,0.0361
458,Thecc1EG000861t1,Gorai.008G086400.1,0.0326,0.3616,0.0901
459,Thecc1EG000863t1,Gorai.007G227600.1,0.031,0.3037,0.1022
460,Thecc1EG000864t1,Gorai.007G227800.1,0.0365,0.3944,0.0926
461,Thecc1EG000865t1,Gorai.003G033300.1,0.0339,0.5318,0.0637
462,Thecc1EG000869t1,Gorai.003G033500.1,0.034,0.3435,0.0989
463,Thecc1EG000870t1,Gorai.003G033600.1,0.0273,0.7409,0.0369
464,Thecc1EG000875t1,Gorai.009G268800.1,0.0202,0.4236,0.0477
465,Thecc1EG000880t1,Gorai.003G034100.1,0.0494,0.6452,0.0766
466,Thecc1EG000882t1,Gorai.007G228600.1,0.04,0.5045,0.0792
467,Thecc1EG000886t1,Gorai.003G034200.1,0.0486,0.7077,0.0687
468,Thecc1EG000890t1,Gorai.008G087500.1,0.0186,0.4054,0.0459
469,Thecc1EG000893t1,Gorai.007G057600.1,0.0601,0.6696,0.0898
470,Thecc1EG000894t1,Gorai.007G229000.1,0.0328,0.4144,0.0793
471,Thecc1EG000895t1,Gorai.003G034700.1,0.035,0.7439,0.0471
472,Thecc1EG000897t1,Gorai.007G228800.1,0.0245,0.4573,0.0536
473,Thecc1EG000898t1,Gorai.007G229100.1,0.0315,0.3885,0.0812
474,Thecc1EG000899t1,Gorai.007G229300.1,0.0252,0.286,0.0882
475,Thecc1EG000900t1,Gorai.003G034900.1,0.0407,0.3298,0.1236
476,Thecc1EG000902t1,Gorai.003G035000.1,0.0356,0.4891,0.0729
477,Thecc1EG000903t1,Gorai.007G232600.1,0.0349,0.5177,0.0674
478,Thecc1EG000904t1,Gorai.003G035200.1,0.013,0.5115,0.0254
479,Thecc1EG000905t1,Gorai.003G035300.1,0.0324,0.3659,0.0887
480,Thecc1EG000906t1,Gorai.003G035500.1,0.0246,0.4196,0.0587
481,Thecc1EG000907t1,Gorai.003G035600.1,0.0351,0.5986,0.0586
482,Thecc1EG000910t1,Gorai.003G035700.1,0.0288,0.3067,0.0941
483,Thecc1EG000913t1,Gorai.008G088100.1,0.0353,0.4474,0.0788
484,Thecc1EG000914t1,Gorai.003G035800.1,0.0672,0.3888,0.1729
485,Thecc1EG000915t1,Gorai.007G229900.1,0.0272,0.2899,0.0938
486,Thecc1EG000917t1,Gorai.007G230000.1,0.0318,0.3317,0.0959
487,Thecc1EG000919t1,Gorai.003G036200.1,0.0317,0.5427,0.0584
488,Thecc1EG000921t1,Gorai.011G109100.1,0.0416,0.65,0.0639
489,Thecc1EG000922t1,Gorai.007G230200.1,0.0276,0.3698,0.0746
490,Thecc1EG000924t1,Gorai.008G088500.1,0.0462,0.4315,0.1072
491,Thecc1EG000925t1,Gorai.007G230500.1,0.0111,0.2603,0.0426
492,Thecc1EG000926t1,Gorai.007G230700.1,0.028,0.3227,0.0868
493,Thecc1EG000927t1,Gorai.007G230800.1,0.0138,0.2377,0.058
494,Thecc1EG000932t1,Gorai.011G109200.1,0.1018,1.385,0.0735
495,Thecc1EG000933t1,Gorai.007G231000.1,0.0439,0.4926,0.089
496,Thecc1EG000939t1,Gorai.007G231300.1,0.0341,0.5073,0.0672
497,Thecc1EG000944t1,Gorai.008G088900.1,0.032,0.5048,0.0634
498,Thecc1EG000945t1,Gorai.007G231600.1,0.0634,0.4849,0.1307
499,Thecc1EG000956t1,Gorai.008G094000.1,0.0258,0.4868,0.0531
500,Thecc1EG000957t1,Gorai.008G093800.1,0.0227,0.3758,0.0605
501,Thecc1EG000959t1,Gorai.011G109400.1,0.0342,0.3527,0.0969
502,Thecc1EG000961t1,Gorai.007G232000.1,0.0399,0.3901,0.1024
503,Thecc1EG000962t1,Gorai.003G036900.1,0.0215,0.4408,0.0489
504,Thecc1EG000964t1,Gorai.008G093600.1,0.0244,0.48,0.0508
505,Thecc1EG000966t1,Gorai.008G093500.1,0.0419,0.3652,0.1147
506,Thecc1EG000967t1,Gorai.008G093300.1,0.0401,0.3418,0.1174
507,Thecc1EG000971t1,Gorai.008G093000.1,0.0272,0.3485,0.078
508,Thecc1EG000972t1,Gorai.007G232200.1,0.0456,0.4655,0.0979
509,Thecc1EG000973t1,Gorai.007G058400.1,0.0762,0.4133,0.1844
510,Thecc1EG000974t1,Gorai.003G037100.1,0.0174,0.571,0.0304
511,Thecc1EG000976t1,Gorai.003G037200.1,0.0433,0.5329,0.0813
512,Thecc1EG000977t1,Gorai.007G058700.1,0.0294,0.3222,0.0912
513,Thecc1EG000979t1,Gorai.003G037300.1,0.0116,0.293,0.0396
514,Thecc1EG000980t1,Gorai.003G037400.1,0.0449,0.502,0.0894
515,Thecc1EG000982t1,Gorai.011G109600.1,0.0968,1.3701,0.0707
516,Thecc1EG000983t1,Gorai.003G037700.1,0.0429,0.5774,0.0744
517,Thecc1EG000985t1,Gorai.007G058900.1,0.0599,0.4801,0.1247
518,Thecc1EG000986t1,Gorai.008G092700.1,0.0442,0.3238,0.1366
519,Thecc1EG000987t1,Gorai.007G033400.1,0.0349,0.7213,0.0484
520,Thecc1EG000989t1,Gorai.007G232700.1,0.0244,0.3204,0.0762
521,Thecc1EG000991t1,Gorai.007G233000.1,0.0242,0.407,0.0594
522,Thecc1EG000993t1,Gorai.007G233100.1,0.0232,0.3282,0.0708
523,Thecc1EG000994t1,Gorai.003G043400.1,0.0388,0.3311,0.1171
524,Thecc1EG000995t1,Gorai.011G109900.1,0.0691,0.6677,0.1035
525,Thecc1EG000997t1,Gorai.007G059100.1,0.0619,0.5436,0.1139
526,Thecc1EG000998t1,Gorai.007G233200.1,0.0325,0.2835,0.1147
527,Thecc1EG000999t1,Gorai.003G043300.1,0.0306,0.4109,0.0744
528,Thecc1EG001001t1,Gorai.007G233500.1,0.0378,0.2842,0.1331
529,Thecc1EG001002t1,Gorai.011G110000.1,0.0691,0.486,0.1422
530,Thecc1EG001004t1,Gorai.008G092100.1,0.0383,0.3234,0.1183
531,Thecc1EG001005t1,Gorai.003G042800.1,0.0113,0.302,0.0375
532,Thecc1EG001007t1,Gorai.007G233700.1,0.0457,0.547,0.0835
533,Thecc1EG001008t1,Gorai.007G233800.1,0.0271,0.3765,0.072
534,Thecc1EG001011t1,Gorai.003G042500.1,0.0391,0.3282,0.1191
535,Thecc1EG001014t1,Gorai.011G110300.1,0.0526,0.4584,0.1147
536,Thecc1EG001020t1,Gorai.007G235800.1,0.0276,0.4693,0.0589
537,Thecc1EG001021t1,Gorai.011G110500.1,0.0677,0.4017,0.1686
538,Thecc1EG001022t1,Gorai.007G235700.1,0.0489,0.5277,0.0926
539,Thecc1EG001028t1,Gorai.007G235400.1,0.0444,0.499,0.0889
540,Thecc1EG001029t1,Gorai.007G235300.1,0.0296,0.3537,0.0836
541,Thecc1EG001030t1,Gorai.003G041900.1,0.0302,0.3489,0.0867
542,Thecc1EG001032t1,Gorai.008G091200.1,0.081,0.7322,0.1106
543,Thecc1EG001034t1,Gorai.011G111000.1,0.032,0.4014,0.0797
544,Thecc1EG001035t1,Gorai.003G041700.1,0.0643,0.6985,0.0921
545,Thecc1EG001039t1,Gorai.003G041500.1,0.0206,0.6411,0.0322
546,Thecc1EG001041t1,Gorai.007G235100.1,0.0539,0.9946,0.0542
547,Thecc1EG001042t1,Gorai.007G235000.1,0.0183,0.3377,0.0542
548,Thecc1EG001044t1,Gorai.008G090600.1,0.0276,0.3351,0.0823
549,Thecc1EG001045t1,Gorai.008G090500.1,0.0212,0.4026,0.0527
550,Thecc1EG001047t1,Gorai.003G041200.1,0.0317,0.4188,0.0758
551,Thecc1EG001049t1,Gorai.007G059800.1,0.0822,2.6023,0.0316
552,Thecc1EG001050t1,Gorai.008G090400.1,0.0285,0.3875,0.0736
553,Thecc1EG001054t1,Gorai.007G234600.1,0.0337,0.6502,0.0519
554,Thecc1EG001055t1,Gorai.003G041000.1,0.0307,0.2821,0.1088
555,Thecc1EG001062t1,Gorai.007G236200.1,0.0359,0.5014,0.0716
556,Thecc1EG001072t1,Gorai.003G040700.1,0.0412,0.3416,0.1205
557,Thecc1EG001073t1,Gorai.011G113400.1,0.0339,0.4045,0.0839
558,Thecc1EG001076t1,Gorai.007G236300.1,0.0836,0.631,0.1324
559,Thecc1EG001078t1,Gorai.003G040300.1,0.0221,0.3458,0.0638
560,Thecc1EG001085t1,Gorai.003G040000.1,0.0222,0.3629,0.0613
561,Thecc1EG001086t1,Gorai.008G096700.1,0.0399,0.8187,0.0487
562,Thecc1EG001088t1,Gorai.007G060400.1,0.0406,0.3873,0.1048
563,Thecc1EG001089t1,Gorai.007G060500.1,0.019,0.2962,0.0641
564,Thecc1EG001097t1,Gorai.007G238100.1,0.0359,0.4434,0.0809
565,Thecc1EG001100t1,Gorai.007G060600.1,0.0411,0.7989,0.0515
566,Thecc1EG001104t1,Gorai.007G237000.1,0.026,0.3262,0.0797
567,Thecc1EG001105t1,Gorai.007G237100.1,0.0251,0.3188,0.0787
568,Thecc1EG001107t1,Gorai.007G237200.1,0.0036,0.3406,0.0105
569,Thecc1EG001108t1,Gorai.008G089900.1,0.0362,0.3746,0.0966
570,Thecc1EG001111t1,Gorai.011G113200.1,0.0439,0.2439,0.18
571,Thecc1EG001113t1,Gorai.003G039100.1,0.0262,0.3908,0.0669
572,Thecc1EG001114t1,Gorai.007G238600.1,0.0428,0.4161,0.1029
573,Thecc1EG001115t1,Gorai.007G060800.1,0.0251,0.315,0.0797
574,Thecc1EG001116t1,Gorai.008G096300.1,0.0195,0.3369,0.0578
575,Thecc1EG001118t1,Gorai.008G096200.1,0.0205,0.3777,0.0544
576,Thecc1EG001120t1,Gorai.011G113100.1,0.0482,0.8221,0.0586
577,Thecc1EG001122t1,Gorai.007G239000.1,0.0245,0.4442,0.0553
578,Thecc1EG001124t1,Gorai.007G239100.1,0.0648,0.3632,0.1785
579,Thecc1EG001125t1,Gorai.008G096100.1,0.0135,0.3003,0.045
580,Thecc1EG001127t1,Gorai.003G038800.1,0.0086,0.3554,0.0242
581,Thecc1EG001129t1,Gorai.003G038700.1,0.0362,0.8059,0.045
582,Thecc1EG001132t1,Gorai.007G061200.1,0.0308,0.6667,0.0461
583,Thecc1EG001135t1,Gorai.008G104800.1,0.0303,0.3306,0.0915
584,Thecc1EG001136t1,Gorai.008G104300.1,0.0574,0.453,0.1267
585,Thecc1EG001137t1,Gorai.003G038600.1,0.0432,0.4546,0.0949
586,Thecc1EG001140t1,Gorai.011G112900.1,0.043,0.8255,0.0521
587,Thecc1EG001143t1,Gorai.003G038400.1,0.0815,0.9939,0.082
588,Thecc1EG001144t1,Gorai.003G038300.1,0.0204,0.5136,0.0397
589,Thecc1EG001147t1,Gorai.007G240700.1,0.0191,0.2663,0.0718
590,Thecc1EG001149t1,Gorai.008G104700.1,0.0389,0.3391,0.1147
591,Thecc1EG001150t1,Gorai.007G240800.1,0.0227,0.323,0.0702
592,Thecc1EG001151t1,Gorai.003G038100.1,0.0391,0.4999,0.0782
593,Thecc1EG001154t1,Gorai.003G043500.1,0.0622,0.6903,0.0901
594,Thecc1EG001155t1,Gorai.003G043600.1,0.0583,0.503,0.116
595,Thecc1EG001157t1,Gorai.008G104000.1,0.0452,0.4101,0.1103
596,Thecc1EG001159t1,Gorai.007G241300.1,0.036,0.4354,0.0827
597,Thecc1EG001160t1,Gorai.003G044000.1,0.0367,0.5339,0.0687
598,Thecc1EG046682t1,Gorai.003G044400.1,0.0231,0.4799,0.0482
599,Thecc1EG001164t1,Gorai.003G044700.1,0.014,0.3746,0.0375
600,Thecc1EG001165t1,Gorai.003G044800.1,0.0569,0.7253,0.0784
601,Thecc1EG001168t1,Gorai.011G112500.1,0.0327,0.5696,0.0575
602,Thecc1EG001169t1,Gorai.003G044900.1,0.0374,0.5305,0.0706
603,Thecc1EG001170t1,Gorai.007G241800.1,0.0266,0.2616,0.1016
604,Thecc1EG001171t1,Gorai.007G061700.1,0.0326,0.6214,0.0525
605,Thecc1EG001178t1,Gorai.003G045000.1,0.0277,0.6686,0.0414
606,Thecc1EG001179t1,Gorai.003G045100.1,0.0214,0.554,0.0386
607,Thecc1EG001180t1,Gorai.007G241900.1,0.0512,0.4054,0.1263
608,Thecc1EG001182t1,Gorai.007G242000.1,0.0465,0.8454,0.055
609,Thecc1EG001183t1,Gorai.007G242100.1,0.0137,0.3676,0.0373
610,Thecc1EG001184t1,Gorai.003G045300.1,0.0413,0.3442,0.1199
611,Thecc1EG001186t1,Gorai.008G103400.1,0.032,0.4345,0.0737
612,Thecc1EG001188t1,Gorai.007G242400.1,0.015,0.294,0.0509
613,Thecc1EG001189t1,Gorai.008G103200.1,0.0341,0.4471,0.0762
614,Thecc1EG001191t1,Gorai.003G045400.1,0.016,0.336,0.0476
615,Thecc1EG001200t1,Gorai.N023300.1,0.0281,0.3507,0.0802
616,Thecc1EG001201t1,Gorai.008G102700.1,0.0464,0.4344,0.1069
617,Thecc1EG001203t1,Gorai.007G243000.1,0.0206,0.4485,0.046
618,Thecc1EG001205t1,Gorai.003G045800.1,0.0293,0.7221,0.0406
619,Thecc1EG001207t1,Gorai.007G243100.1,0.0041,0.2919,0.0142
620,Thecc1EG001209t1,Gorai.011G112400.1,0.0459,0.9547,0.0481
621,Thecc1EG001213t1,Gorai.011G112000.1,0.0194,0.3237,0.0599
622,Thecc1EG001214t1,Gorai.008G102200.1,0.0261,0.3307,0.0791
623,Thecc1EG001215t1,Gorai.007G061900.1,0.0422,0.5448,0.0775
624,Thecc1EG001216t1,Gorai.007G062000.1,0.0534,0.4518,0.1181
625,Thecc1EG001217t1,Gorai.011G111900.1,0.029,0.5226,0.0555
626,Thecc1EG001223t1,Gorai.003G046300.1,0.017,0.2703,0.0631
627,Thecc1EG001224t1,Gorai.007G243400.1,0.0328,0.4644,0.0705
628,Thecc1EG001226t1,Gorai.003G046400.1,0.0264,0.3763,0.0702
629,Thecc1EG001227t1,Gorai.011G111800.1,0.0294,0.3343,0.0878
630,Thecc1EG001229t1,Gorai.007G370400.1,0.0553,0.6518,0.0848
631,Thecc1EG001230t1,Gorai.007G244200.1,0.017,0.2399,0.071
632,Thecc1EG001231t1,Gorai.003G046500.1,0.0572,0.3858,0.1482
633,Thecc1EG001235t1,Gorai.003G046700.1,0.0392,0.3055,0.1284
634,Thecc1EG001236t1,Gorai.011G111700.1,0.0835,0.9357,0.0892
635,Thecc1EG001238t1,Gorai.003G047000.1,0.0159,0.5208,0.0306
636,Thecc1EG001239t1,Gorai.003G047100.1,0.0359,0.4096,0.0876
637,Thecc1EG001241t1,Gorai.003G047200.1,0.0305,0.4023,0.0759
638,Thecc1EG001243t1,Gorai.003G047300.1,0.0356,0.3599,0.0989
639,Thecc1EG001244t1,Gorai.007G062200.1,0.0453,0.4176,0.1085
640,Thecc1EG001248t1,Gorai.009G455300.1,0.0314,0.3716,0.0844
641,Thecc1EG001252t1,Gorai.007G062300.1,0.005,0.3023,0.0164
642,Thecc1EG001253t1,Gorai.003G047500.1,0.0142,0.7658,0.0185
643,Thecc1EG001255t1,Gorai.003G047600.1,0.018,0.3918,0.0459
644,Thecc1EG001256t1,Gorai.007G244700.1,0.0418,0.3518,0.1188
645,Thecc1EG001259t1,Gorai.007G246400.1,0.0468,0.4839,0.0968
646,Thecc1EG001261t1,Gorai.003G047700.1,0.0815,1.0674,0.0764
647,Thecc1EG001264t1,Gorai.007G245100.1,0.0261,0.4512,0.0579
648,Thecc1EG001265t1,Gorai.003G047800.1,0.0644,0.6386,0.1009
649,Thecc1EG001267t1,Gorai.011G114300.1,0.0438,0.4541,0.0965
650,Thecc1EG001270t1,Gorai.007G062700.1,0.0447,0.4946,0.0905
651,Thecc1EG001271t1,Gorai.008G101500.1,0.019,0.3204,0.0593
652,Thecc1EG001272t1,Gorai.007G246100.1,0.0341,0.2407,0.1416
653,Thecc1EG001273t1,Gorai.003G048000.1,0.0304,0.4438,0.0685
654,Thecc1EG001274t1,Gorai.008G101400.1,0.0751,0.7431,0.1011
655,Thecc1EG001276t1,Gorai.008G100700.1,0.0188,0.3941,0.0477
656,Thecc1EG001277t1,Gorai.008G100800.1,0.0303,0.3037,0.0997
657,Thecc1EG001282t1,Gorai.007G246500.1,0.0267,0.4709,0.0568
658,Thecc1EG001284t1,Gorai.002G149600.1,0.0332,0.3909,0.0848
659,Thecc1EG001287t1,Gorai.002G150100.1,0.019,0.2749,0.0692
660,Thecc1EG001294t1,Gorai.008G100900.1,0.0587,0.4628,0.1268
661,Thecc1EG001295t1,Gorai.008G101200.1,0.0409,0.4852,0.0843
662,Thecc1EG001297t1,Gorai.011G114700.1,0.0491,0.3015,0.1627
663,Thecc1EG001299t1,Gorai.002G150000.1,0.0335,0.296,0.1131
664,Thecc1EG001301t1,Gorai.003G048800.1,0.0593,0.653,0.0908
665,Thecc1EG001302t1,Gorai.002G149900.1,0.0071,0.3389,0.021
666,Thecc1EG001305t1,Gorai.003G049000.1,0.016,0.3988,0.0402
667,Thecc1EG001308t1,Gorai.007G063200.1,0.0816,0.5992,0.1361
668,Thecc1EG001310t1,Gorai.003G049300.1,0.0092,0.3325,0.0276
669,Thecc1EG001311t1,Gorai.004G045500.1,0.0195,0.4449,0.0439
670,Thecc1EG001313t1,Gorai.008G100000.1,0.0675,0.8733,0.0773
671,Thecc1EG001323t1,Gorai.003G049600.1,0.0344,0.3045,0.1129
672,Thecc1EG001329t1,Gorai.002G150600.1,0.0458,0.5092,0.0899
673,Thecc1EG001330t1,Gorai.002G150700.1,0.0275,0.3434,0.0801
674,Thecc1EG001334t1,Gorai.003G049700.1,0.0436,0.489,0.0891
675,Thecc1EG001335t1,Gorai.003G049800.1,0.0914,0.9769,0.0936
676,Thecc1EG001346t1,Gorai.002G151000.1,0.0601,0.4028,0.1491
677,Thecc1EG001348t1,Gorai.008G099700.1,0.027,0.4747,0.0568
678,Thecc1EG001349t1,Gorai.003G050100.1,0.0048,0.8525,0.0056
679,Thecc1EG001351t1,Gorai.002G151300.1,0.0326,0.4468,0.073
680,Thecc1EG001356t1,Gorai.003G050200.1,0.0089,0.6671,0.0133
681,Thecc1EG001357t1,Gorai.003G050300.1,0.0248,0.3993,0.0622
682,Thecc1EG001359t1,Gorai.003G069700.1,0.0202,0.323,0.0626
683,Thecc1EG001361t1,Gorai.N017300.1,0.0592,0.4702,0.1259
684,Thecc1EG001373t1,Gorai.008G000900.1,0.0414,0.415,0.0997
